HCPCS,DESCRIPTION,RVU,FACTOR
S9989,Services outside us,0.00,36.0896
S9990,Services provided as part of,0.00,36.0896
S9991,Services provided as part of,0.00,36.0896
S9992,Transportation costs to and,0.00,36.0896
S9994,Lodging costs (e.g. hotel ch,0.00,36.0896
S9996,Meals for clinical trial par,0.00,36.0896
S9999,Sales tax,0.00,36.0896
T1000,Private duty/independent nsg,0.00,36.0896
T1001,Nursing assessment/evaluatn,0.00,36.0896
T1002,Rn services up to 15 minutes,0.00,36.0896
T1003,Lpn/lvn services up to 15min,0.00,36.0896
T1004,Nsg aide service up to 15min,0.00,36.0896
T1005,Respite care service 15 min,0.00,36.0896
T1006,Family/couple counseling,0.00,36.0896
T1007,Treatment plan development,0.00,36.0896
T1009,Child sitting services,0.00,36.0896
T1010,Meals when receive services,0.00,36.0896
T1012,Alcohol/substance abuse skil,0.00,36.0896
T1013,Sign lang/oral interpreter,0.00,36.0896
T1014,"Telehealth transmit, per min",0.00,36.0896
T1015,Clinic service,0.00,36.0896
T1016,Case management,0.00,36.0896
T1017,Targeted case management,0.00,36.0896
T1018,School-based iep ser bundled,0.00,36.0896
T1019,Personal care ser per 15 min,0.00,36.0896
T1020,Personal care ser per diem,0.00,36.0896
T1021,Hh aide or cn aide per visit,0.00,36.0896
T1022,Contracted services per day,0.00,36.0896
T1023,Program intake assessment,0.00,36.0896
T1024,Team evaluation & management,0.00,36.0896
T1025,"Ped compr care pkg, per diem",0.00,36.0896
T1026,"Ped compr care pkg, per hour",0.00,36.0896
T1027,Family training & counseling,0.00,36.0896
T1028,Home environment assessment,0.00,36.0896
T1029,Dwelling lead investigation,0.00,36.0896
T1030,Rn home care per diem,0.00,36.0896
T1031,Lpn home care per diem,0.00,36.0896
T1040,Comm bh clinic svc per diem,0.00,36.0896
T1041,Comm bh clinic svc per month,0.00,36.0896
T1502,Medication admin visit,0.00,36.0896
T1503,"Med admin, not oral/inject",0.00,36.0896
T1505,"Elec med comp dev, noc",0.00,36.0896
T1999,Noc retail items andsupplies,0.00,36.0896
T2001,N-et; patient attend/escort,0.00,36.0896
T2002,N-et; per diem,0.00,36.0896
T2003,N-et; encounter/trip,0.00,36.0896
T2004,N-et; commerc carrier pass,0.00,36.0896
T2005,N-et; stretcher van,0.00,36.0896
T2007,Non-emer transport wait time,0.00,36.0896
T2010,Pasrr level i,0.00,36.0896
T2011,Pasrr level ii,0.00,36.0896
T2012,"Habil ed waiver, per diem",0.00,36.0896
T2013,Habil ed waiver per hour,0.00,36.0896
T2014,"Habil prevoc waiver, per d",0.00,36.0896
T2015,Habil prevoc waiver per hr,0.00,36.0896
T2016,Habil res waiver per diem,0.00,36.0896
T2017,Habil res waiver 15 min,0.00,36.0896
T2018,Habil sup empl waiver/diem,0.00,36.0896
T2019,Habil sup empl waiver 15min,0.00,36.0896
T2020,Day habil waiver per diem,0.00,36.0896
T2021,Day habil waiver per 15 min,0.00,36.0896
T2022,"Case management, per month",0.00,36.0896
T2023,Targeted case mgmt per month,0.00,36.0896
T2024,Serv asmnt/care plan waiver,0.00,36.0896
T2025,"Waiver service, nos",0.00,36.0896
T2026,Special childcare waiver/d,0.00,36.0896
T2027,Spec childcare waiver 15 min,0.00,36.0896
T2028,"Special supply, nos waiver",0.00,36.0896
T2029,"Special med equip, noswaiver",0.00,36.0896
T2030,Assist living waiver/month,0.00,36.0896
T2031,Assist living waiver/diem,0.00,36.0896
T2032,"Res care, nos waiver/month",0.00,36.0896
T2033,"Res, nos waiver per diem",0.00,36.0896
T2034,Crisis interven waiver/diem,0.00,36.0896
T2035,Utility services waiver,0.00,36.0896
T2036,Camp overnite waiver/session,0.00,36.0896
T2037,Camp day waiver/session,0.00,36.0896
T2038,Comm trans waiver/service,0.00,36.0896
T2039,Vehicle mod waiver/service,0.00,36.0896
T2040,Financial mgt waiver/15min,0.00,36.0896
T2041,Support broker waiver/15 min,0.00,36.0896
T2042,Hospice routine home care,0.00,36.0896
T2043,Hospice continuous home care,0.00,36.0896
T2044,Hospice respite care,0.00,36.0896
T2045,Hospice general care,0.00,36.0896
T2046,"Hospice long term care, r&b",0.00,36.0896
T2048,"Bh ltc res r&b, per diem",0.00,36.0896
T2049,"N-et; stretcher van, mileage",0.00,36.0896
T2101,Breast milk proc/store/dist,0.00,36.0896
T4521,Adult size brief/diaper sm,0.00,36.0896
T4522,Adult size brief/diaper med,0.00,36.0896
T4523,Adult size brief/diaper lg,0.00,36.0896
T4524,Adult size brief/diaper xl,0.00,36.0896
T4525,Adult size pull-on sm,0.00,36.0896
T4526,Adult size pull-on med,0.00,36.0896
T4527,Adult size pull-on lg,0.00,36.0896
T4528,Adult size pull-on xl,0.00,36.0896
T4529,Ped size brief/diaper sm/med,0.00,36.0896
T4530,Ped size brief/diaper lg,0.00,36.0896
T4531,Ped size pull-on sm/med,0.00,36.0896
T4532,Ped size pull-on lg,0.00,36.0896
T4533,Youth size brief/diaper,0.00,36.0896
T4534,Youth size pull-on,0.00,36.0896
T4535,Disposable liner/shield/pad,0.00,36.0896
T4536,Reusable pull-on any size,0.00,36.0896
T4537,Reusable underpad bed size,0.00,36.0896
T4538,Diaper serv reusable diaper,0.00,36.0896
T4539,Reuse diaper/brief any size,0.00,36.0896
T4540,Reusable underpad chair size,0.00,36.0896
T4541,Large disposable underpad,0.00,36.0896
T4542,Small disposable underpad,0.00,36.0896
T4543,Adult disp brief/diap abv xl,0.00,36.0896
T4544,Adlt disp und/pull on abv xl,0.00,36.0896
T4545,Incon disposable penile wrap,0.00,36.0896
T5001,Position seat spec orth need,0.00,36.0896
T5999,"Supply, nos",0.00,36.0896
V2020,Vision svcs frames purchases,0.00,36.0896
V2025,Eyeglasses delux frames,0.00,36.0896
V2100,Lens spher single plano 4.00,0.00,36.0896
V2101,Single visn sphere 4.12-7.00,0.00,36.0896
V2102,Singl visn sphere 7.12-20.00,0.00,36.0896
V2103,Spherocylindr 4.00d/12-2.00d,0.00,36.0896
V2104,Spherocylindr 4.00d/2.12-4d,0.00,36.0896
V2105,Spherocylinder 4.00d/4.25-6d,0.00,36.0896
V2106,Spherocylinder 4.00d/>6.00d,0.00,36.0896
V2107,Spherocylinder 4.25d/12-2d,0.00,36.0896
V2108,Spherocylinder 4.25d/2.12-4d,0.00,36.0896
V2109,Spherocylinder 4.25d/4.25-6d,0.00,36.0896
V2110,Spherocylinder 4.25d/over 6d,0.00,36.0896
V2111,Spherocylindr 7.25d/.25-2.25,0.00,36.0896
V2112,Spherocylindr 7.25d/2.25-4d,0.00,36.0896
V2113,Spherocylindr 7.25d/4.25-6d,0.00,36.0896
V2114,Spherocylinder over 12.00d,0.00,36.0896
V2115,Lens lenticular bifocal,0.00,36.0896
V2118,Lens aniseikonic single,0.00,36.0896
V2121,"Lenticular lens, single",0.00,36.0896
V2199,Lens single vision not oth c,0.00,36.0896
V2200,Lens spher bifoc plano 4.00d,0.00,36.0896
V2201,Lens sphere bifocal 4.12-7.0,0.00,36.0896
V2202,Lens sphere bifocal 7.12-20.,0.00,36.0896
V2203,Lens sphcyl bifocal 4.00d/.1,0.00,36.0896
V2204,Lens sphcy bifocal 4.00d/2.1,0.00,36.0896
V2205,Lens sphcy bifocal 4.00d/4.2,0.00,36.0896
V2206,Lens sphcy bifocal 4.00d/ove,0.00,36.0896
V2207,Lens sphcy bifocal 4.25-7d/.,0.00,36.0896
V2208,Lens sphcy bifocal 4.25-7/2.,0.00,36.0896
V2209,Lens sphcy bifocal 4.25-7/4.,0.00,36.0896
V2210,Lens sphcy bifocal 4.25-7/ov,0.00,36.0896
V2211,Lens sphcy bifo 7.25-12/.25-,0.00,36.0896
V2212,Lens sphcyl bifo 7.25-12/2.2,0.00,36.0896
V2213,Lens sphcyl bifo 7.25-12/4.2,0.00,36.0896
V2214,Lens sphcyl bifocal over 12.,0.00,36.0896
V2215,Lens lenticular bifocal,0.00,36.0896
V2218,Lens aniseikonic bifocal,0.00,36.0896
V2219,Lens bifocal seg width over,0.00,36.0896
V2220,Lens bifocal add over 3.25d,0.00,36.0896
V2221,"Lenticular lens, bifocal",0.00,36.0896
V2299,Lens bifocal speciality,0.00,36.0896
V2300,Lens sphere trifocal 4.00d,0.00,36.0896
V2301,Lens sphere trifocal 4.12-7.,0.00,36.0896
V2302,Lens sphere trifocal 7.12-20,0.00,36.0896
V2303,Lens sphcy trifocal 4.0/.12-,0.00,36.0896
V2304,Lens sphcy trifocal 4.0/2.25,0.00,36.0896
V2305,Lens sphcy trifocal 4.0/4.25,0.00,36.0896
V2306,Lens sphcyl trifocal 4.00/>6,0.00,36.0896
V2307,Lens sphcy trifocal 4.25-7/.,0.00,36.0896
V2308,Lens sphc trifocal 4.25-7/2.,0.00,36.0896
V2309,Lens sphc trifocal 4.25-7/4.,0.00,36.0896
V2310,Lens sphc trifocal 4.25-7/>6,0.00,36.0896
V2311,Lens sphc trifo 7.25-12/.25-,0.00,36.0896
V2312,Lens sphc trifo 7.25-12/2.25,0.00,36.0896
V2313,Lens sphc trifo 7.25-12/4.25,0.00,36.0896
V2314,Lens sphcyl trifocal over 12,0.00,36.0896
V2315,Lens lenticular trifocal,0.00,36.0896
V2318,Lens aniseikonic trifocal,0.00,36.0896
V2319,Lens trifocal seg width > 28,0.00,36.0896
V2320,Lens trifocal add over 3.25d,0.00,36.0896
V2321,"Lenticular lens, trifocal",0.00,36.0896
V2399,Lens trifocal speciality,0.00,36.0896
V2410,Lens variab asphericity sing,0.00,36.0896
V2430,Lens variable asphericity bi,0.00,36.0896
V2499,Variable asphericity lens,0.00,36.0896
V2500,Contact lens pmma spherical,0.00,36.0896
V2501,Cntct lens pmma-toric/prism,0.00,36.0896
V2502,Contact lens pmma bifocal,0.00,36.0896
V2503,Cntct lens pmma color vision,0.00,36.0896
V2510,Cntct gas permeable sphericl,0.00,36.0896
V2511,Cntct toric prism ballast,0.00,36.0896
V2512,Cntct lens gas permbl bifocl,0.00,36.0896
V2513,Contact lens extended wear,0.00,36.0896
V2520,Contact lens hydrophilic,0.00,36.0896
V2521,Cntct lens hydrophilic toric,0.00,36.0896
V2522,Cntct lens hydrophil bifocl,0.00,36.0896
V2523,Cntct lens hydrophil extend,0.00,36.0896
V2530,Contact lens gas impermeable,0.00,36.0896
V2531,Contact lens gas permeable,0.00,36.0896
V2599,Contact lens/es other type,0.00,36.0896
V2600,Hand held low vision aids,0.00,36.0896
V2610,Single lens spectacle mount,0.00,36.0896
V2615,Telescop/othr compound lens,0.00,36.0896
V2623,Plastic eye prosth custom,0.00,36.0896
V2624,Polishing artifical eye,0.00,36.0896
V2625,Enlargemnt of eye prosthesis,0.00,36.0896
V2626,Reduction of eye prosthesis,0.00,36.0896
V2627,Scleral cover shell,0.00,36.0896
V2628,Fabrication & fitting,0.00,36.0896
V2629,Prosthetic eye other type,0.00,36.0896
V2630,Anter chamber intraocul lens,0.00,36.0896
V2631,Iris support intraoclr lens,0.00,36.0896
V2632,Post chmbr intraocular lens,0.00,36.0896
V2700,Balance lens,0.00,36.0896
V2702,Deluxe lens feature,0.00,36.0896
V2710,Glass/plastic slab off prism,0.00,36.0896
V2715,Prism lens/es,0.00,36.0896
V2718,Fresnell prism press-on lens,0.00,36.0896
V2730,Special base curve,0.00,36.0896
V2744,Tint photochromatic lens/es,0.00,36.0896
V2745,"Tint, any color/solid/grad",0.00,36.0896
V2750,Anti-reflective coating,0.00,36.0896
V2755,Uv lens/es,0.00,36.0896
V2756,Eye glass case,0.00,36.0896
V2760,Scratch resistant coating,0.00,36.0896
V2761,Mirror coating,0.00,36.0896
V2762,"Polarization, any lens",0.00,36.0896
V2770,Occluder lens/es,0.00,36.0896
V2780,Oversize lens/es,0.00,36.0896
V2781,Progressive lens per lens,0.00,36.0896
V2782,"Lens, 1.54-1.65 p/1.60-1.79g",0.00,36.0896
V2783,"Lens, >= 1.66 p/>=1.80 g",0.00,36.0896
V2784,Lens polycarb or equal,0.00,36.0896
V2785,Corneal tissue processing,0.00,36.0896
V2786,Occupational multifocal lens,0.00,36.0896
V2787,Astigmatism-correct function,0.00,36.0896
V2788,Presbyopia-correct function,0.00,36.0896
V2790,Amniotic membrane,0.00,36.0896
V2797,Vis item/svc in other code,0.00,36.0896
V2799,Misc vision item or service,0.00,36.0896
V5008,Hearing screening,0.00,36.0896
V5010,Assessment for hearing aid,0.00,36.0896
V5011,Hearing aid fitting/checking,0.00,36.0896
V5014,Hearing aid repair/modifying,0.00,36.0896
V5020,Conformity evaluation,0.00,36.0896
V5030,Body-worn hearing aid air,0.00,36.0896
V5040,Body-worn hearing aid bone,0.00,36.0896
V5050,Hearing aid monaural in ear,0.00,36.0896
V5060,Behind ear hearing aid,0.00,36.0896
V5070,Glasses air conduction,0.00,36.0896
V5080,Glasses bone conduction,0.00,36.0896
V5090,Hearing aid dispensing fee,0.00,36.0896
V5095,Implant mid ear hearing pros,0.00,36.0896
V5100,Body-worn bilat hearing aid,0.00,36.0896
V5110,Hearing aid dispensing fee,0.00,36.0896
V5120,Body-worn binaur hearing aid,0.00,36.0896
V5130,In ear binaural hearing aid,0.00,36.0896
V5140,Behind ear binaur hearing ai,0.00,36.0896
V5150,Glasses binaural hearing aid,0.00,36.0896
V5160,Dispensing fee binaural,0.00,36.0896
V5171,Hearing aid monaural ite,0.00,36.0896
V5172,Hearing aid monaural itc,0.00,36.0896
V5181,Hearing aid monaural bte,0.00,36.0896
V5190,Hearing aid monaural glasses,0.00,36.0896
V5200,Disp fee contralateral monau,0.00,36.0896
V5211,Hearing aid binaural ite/ite,0.00,36.0896
V5212,Hearing aid binaural ite/itc,0.00,36.0896
V5213,Hearing aid binaural ite/bte,0.00,36.0896
V5214,Hearing aid binaural itc/itc,0.00,36.0896
V5215,Hearing aid binaural itc/bte,0.00,36.0896
V5221,Hearing aid binaural bte/bte,0.00,36.0896
V5230,Hearing aid binaural glasses,0.00,36.0896
V5240,Disp fee contralateral binau,0.00,36.0896
V5241,"Dispensing fee, monaural",0.00,36.0896
V5242,"Hearing aid, monaural, cic",0.00,36.0896
V5243,"Hearing aid, monaural, itc",0.00,36.0896
V5244,"Hearing aid, prog, mon, cic",0.00,36.0896
V5245,"Hearing aid, prog, mon, itc",0.00,36.0896
V5246,"Hearing aid, prog, mon, ite",0.00,36.0896
V5247,"Hearing aid, prog, mon, bte",0.00,36.0896
V5248,"Hearing aid, binaural, cic",0.00,36.0896
V5249,"Hearing aid, binaural, itc",0.00,36.0896
V5250,"Hearing aid, prog, bin, cic",0.00,36.0896
V5251,"Hearing aid, prog, bin, itc",0.00,36.0896
V5252,"Hearing aid, prog, bin, ite",0.00,36.0896
V5253,"Hearing aid, prog, bin, bte",0.00,36.0896
V5254,"Hearing id, digit, mon, cic",0.00,36.0896
V5255,"Hearing aid, digit, mon, itc",0.00,36.0896
V5256,"Hearing aid, digit, mon, ite",0.00,36.0896
V5257,"Hearing aid, digit, mon, bte",0.00,36.0896
V5258,"Hearing aid, digit, bin, cic",0.00,36.0896
V5259,"Hearing aid, digit, bin, itc",0.00,36.0896
V5260,"Hearing aid, digit, bin, ite",0.00,36.0896
V5261,"Hearing aid, digit, bin, bte",0.00,36.0896
V5262,"Hearing aid, disp, monaural",0.00,36.0896
V5263,"Hearing aid, disp, binaural",0.00,36.0896
V5264,Ear mold/insert,0.00,36.0896
V5265,"Ear mold/insert, disp",0.00,36.0896
V5266,Battery for hearing device,0.00,36.0896
V5267,Hearing aid sup/access/dev,0.00,36.0896
V5268,Ald telephone amplifier,0.00,36.0896
V5269,"Alerting device, any type",0.00,36.0896
V5270,"Ald, tv amplifier, any type",0.00,36.0896
V5271,"Ald, tv caption decoder",0.00,36.0896
V5272,Tdd,0.00,36.0896
V5273,Ald for cochlear implant,0.00,36.0896
V5274,Ald unspecified,0.00,36.0896
V5275,Ear impression,0.00,36.0896
V5281,"Ald fm/dm system, monaural",0.00,36.0896
V5282,Ald fm/dm system binaural,0.00,36.0896
V5283,"Ald neck, loop ind receiver",0.00,36.0896
V5284,Ald fm/dm ear level receiver,0.00,36.0896
V5285,Ald fm/dm aud input receiver,0.00,36.0896
V5286,Ald blu tooth fm/dm receiver,0.00,36.0896
V5287,"Ald fm/dm receiver, nos",0.00,36.0896
V5288,Ald fm/dm transmitter ald,0.00,36.0896
V5289,Ald fm/dm adapt/boot couplin,0.00,36.0896
V5290,Ald transmitter microphone,0.00,36.0896
V5298,Hearing aid noc,0.00,36.0896
V5299,Hearing service,0.00,36.0896
V5336,Repair communication device,0.00,36.0896
V5362,Speech screening,0.00,36.0896
V5363,Language screening,0.00,36.0896
V5364,Dysphagia screening,0.00,36.0896
0001F,Heart failure composite,0.00,36.0896
0005F,Osteoarthritis composite,0.00,36.0896
00100,Anesth salivary gland,0.00,36.0896
00102,Anesth repair of cleft lip,0.00,36.0896
00103,Anesth blepharoplasty,0.00,36.0896
00104,Anesth electroshock,0.00,36.0896
0012F,Cap bacterial assess,0.00,36.0896
00120,Anesth ear surgery,0.00,36.0896
00124,Anesth ear exam,0.00,36.0896
00126,Anesth tympanotomy,0.00,36.0896
0014F,Comp preop assess cat surg,0.00,36.0896
00140,Anesth procedures on eye,0.00,36.0896
00142,Anesth lens surgery,0.00,36.0896
00144,Anesth corneal transplant,0.00,36.0896
00145,Anesth vitreoretinal surg,0.00,36.0896
00147,Anesth iridectomy,0.00,36.0896
00148,Anesth eye exam,0.00,36.0896
0015F,Melan follow-up complete,0.00,36.0896
00160,Anesth nose/sinus surgery,0.00,36.0896
00162,Anesth nose/sinus surgery,0.00,36.0896
00164,Anesth biopsy of nose,0.00,36.0896
00170,Anesth procedure on mouth,0.00,36.0896
00172,Anesth cleft palate repair,0.00,36.0896
00174,Anesth pharyngeal surgery,0.00,36.0896
00176,Anesth pharyngeal surgery,0.00,36.0896
00190,Anesth face/skull bone surg,0.00,36.0896
00192,Anesth facial bone surgery,0.00,36.0896
00210,Anesth cranial surg nos,0.00,36.0896
00211,Anesth cran surg hemotoma,0.00,36.0896
00212,Anesth skull drainage,0.00,36.0896
00214,Anesth skull drainage,0.00,36.0896
00215,Anesth skull repair/fract,0.00,36.0896
00216,Anesth head vessel surgery,0.00,36.0896
00218,Anesth special head surgery,0.00,36.0896
00220,Anesth intrcrn nerve,0.00,36.0896
00222,Anesth head nerve surgery,0.00,36.0896
00300,Anesth head/neck/ptrunk,0.00,36.0896
00320,Anesth neck organ 1yr/>,0.00,36.0896
00322,Anesth biopsy of thyroid,0.00,36.0896
00326,Anesth larynx/trach < 1 yr,0.00,36.0896
00350,Anesth neck vessel surgery,0.00,36.0896
00352,Anesth neck vessel surgery,0.00,36.0896
00400,Anesth skin ext/per/atrunk,0.00,36.0896
00402,Anesth surgery of breast,0.00,36.0896
00404,Anesth surgery of breast,0.00,36.0896
00406,Anesth surgery of breast,0.00,36.0896
00410,Anesth correct heart rhythm,0.00,36.0896
0042T,Ct perfusion w/contrast cbf,0.00,36.0896
00450,Anesth surgery of shoulder,0.00,36.0896
00454,Anesth collar bone biopsy,0.00,36.0896
00470,Anesth removal of rib,0.00,36.0896
00472,Anesth chest wall repair,0.00,36.0896
00474,Anesth surgery of rib,0.00,36.0896
00500,Anesth esophageal surgery,0.00,36.0896
00520,Anesth chest procedure,0.00,36.0896
00522,Anesth chest lining biopsy,0.00,36.0896
00524,Anesth chest drainage,0.00,36.0896
00528,Anes mediascpy & dx thorscpy,0.00,36.0896
00529,Anes medscpy&thorscpy 1 lung,0.00,36.0896
00530,Anesth pacemaker insertion,0.00,36.0896
00532,Anesth vascular access,0.00,36.0896
00534,Anesth cardioverter/defib,0.00,36.0896
00537,Anesth cardiac electrophys,0.00,36.0896
00539,Anesth trach-bronch reconst,0.00,36.0896
0054T,Bone srgry cmptr fluor image,0.00,36.0896
00540,Anesth chest surgery,0.00,36.0896
00541,Anesth one lung ventilation,0.00,36.0896
00542,Anesthesia removal pleura,0.00,36.0896
00546,Anesth lung chest wall surg,0.00,36.0896
00548,Anesth trachea bronchi surg,0.00,36.0896
0055T,Bone srgry cmptr ct/mri imag,0.00,36.0896
00550,Anesth sternal debridement,0.00,36.0896
00560,Anesth heart surg w/o pump,0.00,36.0896
00561,Anesth heart surg <1 yr,0.00,36.0896
00562,Anesth hrt surg w/pmp age 1+,0.00,36.0896
00563,Anesth heart surg w/arrest,0.00,36.0896
00566,Anesth cabg w/o pump,0.00,36.0896
00567,Anesth cabg w/pump,0.00,36.0896
0058T,Cryopreservation ovary tiss,0.00,36.0896
00580,Anesth heart/lung transplnt,0.00,36.0896
00600,Anesth spine cord surgery,0.00,36.0896
00604,Anesth sitting procedure,0.00,36.0896
00620,Anesth spine cord surgery,0.00,36.0896
00625,Anes spine tranthor w/o vent,0.00,36.0896
00626,Anes spine transthor w/vent,0.00,36.0896
00630,Anesth spine cord surgery,0.00,36.0896
00632,Anesth removal of nerves,0.00,36.0896
00635,Anesth lumbar puncture,0.00,36.0896
00640,Anesth spine manipulation,0.00,36.0896
00670,Anesth spine cord surgery,0.00,36.0896
00700,Anesth abdominal wall surg,0.00,36.0896
00702,Anesth for liver biopsy,0.00,36.0896
0071T,Us leiomyomata ablate <200,0.00,36.0896
0072T,Us leiomyomata ablate >200,0.00,36.0896
00730,Anesth abdominal wall surg,0.00,36.0896
00731,Anes upr gi ndsc px nos,0.00,36.0896
00732,Anes upr gi ndsc px ercp,0.00,36.0896
0075T,Perq stent/chest vert art,0.00,36.0896
0075T,Perq stent/chest vert art,0.00,36.0896
0075T,Perq stent/chest vert art,0.00,36.0896
00750,Anesth repair of hernia,0.00,36.0896
00752,Anesth repair of hernia,0.00,36.0896
00754,Anesth repair of hernia,0.00,36.0896
00756,Anesth repair of hernia,0.00,36.0896
0076T,S&i stent/chest vert art,0.00,36.0896
0076T,S&i stent/chest vert art,0.00,36.0896
0076T,S&i stent/chest vert art,0.00,36.0896
00770,Anesth blood vessel repair,0.00,36.0896
00790,Anesth surg upper abdomen,0.00,36.0896
00792,Anesth hemorr/excise liver,0.00,36.0896
00794,Anesth pancreas removal,0.00,36.0896
00796,Anesth for liver transplant,0.00,36.0896
00797,Anesth surgery for obesity,0.00,36.0896
00800,Anesth abdominal wall surg,0.00,36.0896
00802,Anesth fat layer removal,0.00,36.0896
00811,Anes lwr intst ndsc nos,0.00,36.0896
00812,Anes lwr intst scr colsc,0.00,36.0896
00813,Anes upr lwr gi ndsc px,0.00,36.0896
00820,Anesth abdominal wall surg,0.00,36.0896
00830,Anesth repair of hernia,0.00,36.0896
00832,Anesth repair of hernia,0.00,36.0896
00834,Anesth hernia repair < 1 yr,0.00,36.0896
00836,Anesth hernia repair preemie,0.00,36.0896
00840,Anesth surg lower abdomen,0.00,36.0896
00842,Anesth amniocentesis,0.00,36.0896
00844,Anesth pelvis surgery,0.00,36.0896
00846,Anesth hysterectomy,0.00,36.0896
00848,Anesth pelvic organ surg,0.00,36.0896
0085T,Breath test heart reject,0.00,36.0896
00851,Anesth tubal ligation,0.00,36.0896
00860,Anesth surgery of abdomen,0.00,36.0896
00862,Anesth kidney/ureter surg,0.00,36.0896
00864,Anesth removal of bladder,0.00,36.0896
00865,Anesth removal of prostate,0.00,36.0896
00866,Anesth removal of adrenal,0.00,36.0896
00868,Anesth kidney transplant,0.00,36.0896
00870,Anesth bladder stone surg,0.00,36.0896
00872,Anesth kidney stone destruct,0.00,36.0896
00873,Anesth kidney stone destruct,0.00,36.0896
00880,Anesth abdomen vessel surg,0.00,36.0896
00882,Anesth major vein ligation,0.00,36.0896
00902,Anesth anorectal surgery,0.00,36.0896
00904,Anesth perineal surgery,0.00,36.0896
00906,Anesth removal of vulva,0.00,36.0896
00908,Anesth removal of prostate,0.00,36.0896
00910,Anesth bladder surgery,0.00,36.0896
00912,Anesth bladder tumor surg,0.00,36.0896
00914,Anesth removal of prostate,0.00,36.0896
00916,Anesth bleeding control,0.00,36.0896
00918,Anesth stone removal,0.00,36.0896
00920,Anesth genitalia surgery,0.00,36.0896
00921,Anesth vasectomy,0.00,36.0896
00922,Anesth sperm duct surgery,0.00,36.0896
00924,Anesth testis exploration,0.00,36.0896
00926,Anesth removal of testis,0.00,36.0896
00928,Anesth removal of testis,0.00,36.0896
00930,Anesth testis suspension,0.00,36.0896
00932,Anesth amputation of penis,0.00,36.0896
00934,Anesth penis nodes removal,0.00,36.0896
00936,Anesth penis nodes removal,0.00,36.0896
00938,Anesth insert penis device,0.00,36.0896
00940,Anesth vaginal procedures,0.00,36.0896
00942,Anesth surg on vag/urethral,0.00,36.0896
00944,Anesth vaginal hysterectomy,0.00,36.0896
00948,Anesth repair of cervix,0.00,36.0896
0095T,Rmvl artific disc addl crvcl,0.00,36.0896
00950,Anesth vaginal endoscopy,0.00,36.0896
00952,Anesth hysteroscope/graph,0.00,36.0896
0098T,Rev artific disc addl,0.00,36.0896
0100T,Prosth retina receive&gen,0.00,36.0896
0101T,Extracorp shockwv tx hi enrg,0.00,36.0896
0102T,Extracorp shockwv tx anesth,0.00,36.0896
0106T,Touch quant sensory test,0.00,36.0896
0107T,Vibrate quant sensory test,0.00,36.0896
0108T,Cool quant sensory test,0.00,36.0896
0109T,Heat quant sensory test,0.00,36.0896
0110T,Nos quant sensory test,0.00,36.0896
0111T,Rbc membranes fatty acids,0.00,36.0896
01112,Anesth bone aspirate/bx,0.00,36.0896
01120,Anesth pelvis surgery,0.00,36.0896
01130,Anesth body cast procedure,0.00,36.0896
01140,Anesth amputation at pelvis,0.00,36.0896
01150,Anesth pelvic tumor surgery,0.00,36.0896
01160,Anesth pelvis procedure,0.00,36.0896
01170,Anesth pelvis surgery,0.00,36.0896
01173,Anesth fx repair pelvis,0.00,36.0896
01200,Anesth hip joint procedure,0.00,36.0896
01202,Anesth arthroscopy of hip,0.00,36.0896
01210,Anesth hip joint surgery,0.00,36.0896
01212,Anesth hip disarticulation,0.00,36.0896
01214,Anesth hip arthroplasty,0.00,36.0896
01215,Anesth revise hip repair,0.00,36.0896
01220,Anesth procedure on femur,0.00,36.0896
01230,Anesth surgery of femur,0.00,36.0896
01232,Anesth amputation of femur,0.00,36.0896
01234,Anesth radical femur surg,0.00,36.0896
01250,Anesth upper leg surgery,0.00,36.0896
0126T,Chd risk imt study,0.00,36.0896
01260,Anesth upper leg veins surg,0.00,36.0896
01270,Anesth thigh arteries surg,0.00,36.0896
01272,Anesth femoral artery surg,0.00,36.0896
01274,Anesth femoral embolectomy,0.00,36.0896
01320,Anesth knee area surgery,0.00,36.0896
01340,Anesth knee area procedure,0.00,36.0896
01360,Anesth knee area surgery,0.00,36.0896
01380,Anesth knee joint procedure,0.00,36.0896
01382,Anesth dx knee arthroscopy,0.00,36.0896
01390,Anesth knee area procedure,0.00,36.0896
01392,Anesth knee area surgery,0.00,36.0896
01400,Anesth knee joint surgery,0.00,36.0896
01402,Anesth knee arthroplasty,0.00,36.0896
01404,Anesth amputation at knee,0.00,36.0896
01420,Anesth knee joint casting,0.00,36.0896
01430,Anesth knee veins surgery,0.00,36.0896
01432,Anesth knee vessel surg,0.00,36.0896
01440,Anesth knee arteries surg,0.00,36.0896
01442,Anesth knee artery surg,0.00,36.0896
01444,Anesth knee artery repair,0.00,36.0896
01462,Anesth lower leg procedure,0.00,36.0896
01464,Anesth ankle/ft arthroscopy,0.00,36.0896
01470,Anesth lower leg surgery,0.00,36.0896
01472,Anesth achilles tendon surg,0.00,36.0896
01474,Anesth lower leg surgery,0.00,36.0896
01480,Anesth lower leg bone surg,0.00,36.0896
01482,Anesth radical leg surgery,0.00,36.0896
01484,Anesth lower leg revision,0.00,36.0896
01486,Anesth ankle replacement,0.00,36.0896
01490,Anesth lower leg casting,0.00,36.0896
01500,Anesth leg arteries surg,0.00,36.0896
01502,Anesth lwr leg embolectomy,0.00,36.0896
